ID,Title,Description,Donation,Image Link,Product URL,Availability,Category
1,مصادر مياه مستدامة في اليمن,"وفر مصادر مياه مستدامة لمجتمع في اليمن",100,https://humanappeal.me/media/jisp5cmc/3200x1574-water-yemen.jpg?width=510&height=370&v=1da13be5e701a50,https://humanappeal.me/تبرع-الآن/حسب-المشروع/الماء-والصرف-الصحي/مصادر-مياه-مستدامة-في-اليمن,Available, الماء والصرف الصحي
2,صندوق خبز غزة,"ساهم في توفير الخبز لأهلنا في المناطق المختلفة في غزة",50,https://humanappeal.me/media/vgqfkyn0/gazabread.jpg,https://humanappeal.me/تبرع-الآن/حسب-المشروع/الأمن-الغذائي/خبز-غزة,Available, الأمن الغذائي
